country,countryCode,population,landArea,medianAge,fertilityRate,
Israel,376,8323248,21641,30,3.05
Italy,380,59797978,294137,46,1.43
Jamaica,388,2813285,10829,29,2.08
Japan,392,126045211,364503,47,1.4
Jordan,400,7876703,88802,23,3.51
Kazakhstan,398,18064470,2696190,29,2.64
Kenya,404,48466928,568861,19,4.44
Kiribati,296,116405,810,22,3.79
Kuwait,414,4099932,17818,31,2.15
Kyrgyzstan,417,6124945,192005,25,3.12
Laos,418,7037521,230738,22,3.1
Latvia,428,1944565,62127,43,1.48
Lebanon,422,6039277,10231,29,1.72
Lesotho,426,2185159,30349,21,3.26
Liberia,430,4730437,96343,19,4.83
Libya,434,6408742,1780206,28,2.53
Liechtenstein,438,38022,160,N.A.,N.A.
Lithuania,440,2830582,62623,43,1.57
Luxembourg,442,584103,2590,39,1.57
Madagascar,450,25612972,582113,19,4.5
Malawi,454,18298679,94274,17,5.25
Malaysia,458,31164177,328390,29,1.97
Maldives,462,375867,300,26,2.18
Mali,466,18689966,1221566,16,6.35
Marshall Islands,584,53132,180,N.A.,N.A.
Martinique,474,396071,1060,46,1.95
Mauritania,478,4266448,1040597,20,4.69
Mauritius,480,1281353,2030,35,1.5
Mayotte,175,253068,375,19,4.1
Mexico,484,130222815,1943624,27,2.29
Micronesia,583,105566,700,22,3.33
Moldova,498,4054640,32858,36,1.27
Mongolia,496,3051900,1525950,27,2.68
Montenegro,499,626250,13439,38,1.71
Montserrat,500,5179,100,N.A.,N.A.
Morocco,504,35241418,446094,28,2.56
Mozambique,508,29537914,785583,17,5.45
Myanmar,104,54836483,653593,28,2.25
Namibia,516,2568569,828571,21,3.6
Nauru,520,10301,20,N.A.,N.A.
Nepal,524,29187037,143355,23,2.32
Netherlands,528,17032845,33722,43,1.75
New Caledonia,540,269736,18225,33,2.13
New Zealand,554,4604871,263135,38,2.05
Nicaragua,558,6217796,120267,25,2.32
Niger,562,21563607,1268447,15,7.63
Nigeria,566,191835936,910902,18,5.74
Niue,570,1614,260,N.A.,N.A.
North Korea,408,25405296,120404,34,2
Northern Mariana Islands,580,55567,460,N.A.,N.A.
Norway,578,5330800,365123,39,1.8
Oman,512,4741305,309889,29,2.88
Pakistan,586,196744376,770942,23,3.72
Palau,585,21726,460,N.A.,N.A.
Panama,591,4051284,74335,29,2.48
Papua New Guinea,598,7933841,453362,21,3.84
Paraguay,600,6811583,398338,25,2.6
Peru,604,32166473,1281533,28,2.5
Philippines,608,103796832,298181,24,3.04
Poland,616,38563573,306303,40,1.37
Portugal,620,10264797,91568,44,1.28
Puerto Rico,630,3679086,8870,36,1.64
Qatar,634,2338085,11609,31,2.08
Réunion,638,873356,2500,34,2.24
Romania,642,19237513,230114,42,1.48
Russia,643,143375006,16292614,39,1.66
Rwanda,646,12159586,24669,19,4.05
Saint Helena,654,3970,389,N.A.,N.A.
Saint Kitts and Nevis,659,56780,260,N.A.,N.A.
Saint Lucia,662,187768,610,31,1.92
Saint Pierre and Miquelon,666,6319,230,N.A.,N.A.
Samoa,882,195743,2829,21,4.16
San Marino,674,32104,60,N.A.,N.A.
Sao Tome and Principe,678,198481,960,19,4.67
Saudi Arabia,682,32742664,2154123,28,2.85
Senegal,686,16054275,192497,18,5.18
Serbia,688,8776940,87420,41,1.56
Seychelles,690,97539,460,33,2.33
Sierra Leone,694,6732899,72164,19,4.79
Slovakia,703,5432157,48072,39,1.37
Slovenia,705,2071252,20148,43,1.58
Solomon Islands,090,606215,27936,20,4.06
Somalia,706,11391962,625932,17,6.61
South Africa,710,55436360,1213049,26,2.4
South Korea,410,50704971,97229,41,1.26
South Sudan,728,13096190,611971,19,5.15
Spain,724,46070146,498595,43,1.32
Sri Lanka,144,20905335,62703,32,2.11
St. Vincent & Grenadines,670,109895,390,30,2.01
State of Palestine,275,4928225,6020,19,4.28
Sudan,729,42166323,1764281,19,4.46
Suriname,740,552112,157746,29,2.4
Swaziland,748,1320356,17192,21,3.36
Sweden,752,9920624,409943,41,1.92
Switzerland,756,8454083,39524,42,1.52
Syria,760,18906907,183562,21,3.03
Taiwan,158,23405309,35409,40,1.07
Tajikistan,762,8858115,139939,23,3.55
Tanzania,834,56877529,885943,17,5.24
TFYR Macedonia,807,2083308,25222,38,1.51
Thailand,764,68297547,510827,38,1.53
Timor-Leste,626,1237251,14871,19,5.91
Togo,768,7691915,54398,19,4.69
Tokelau,772,1300,10,N.A.,N.A.
Tonga,776,107797,720,21,3.79
Trinidad and Tobago,780,1369157,5130,34,1.8
Tunisia,788,11494760,155335,31,2.16
Turkey,792,80417526,769546,30,2.1
Turkmenistan,795,5502586,470306,26,2.34
Turks and Caicos Islands,796,35442,950,N.A.,N.A.
Tuvalu,798,9975,30,N.A.,N.A.
U.K.,826,65511098,241917,40,1.92
U.S.,840,326474013,9144930,38,1.89
Uganda,800,41652938,199774,16,5.91
Ukraine,804,44405055,578945,40,1.49
United Arab Emirates,784,9397599,83609,33,1.82
United States Virgin Islands,850,106574,350,41,2.3
Uruguay,858,3456877,174590,35,2.04
Uzbekistan,860,30690914,425671,26,2.48
Vanuatu,548,276331,12173,22,3.41
Venezuela,862,31925705,881926,27,2.4
Viet Nam,704,95414640,310090,30,1.96
Wallis and Futuna,876,13090,140,N.A.,N.A.
Western Sahara,732,596021,270919,29,2.2
Yemen,887,28119546,527571,19,4.35
Zambia,894,17237931,743014,17,5.45
Zimbabwe,716,16337760,387151,19,4.02
